salary,area,age,sex,job,date,exper,company
5000-6000元,浙江金华金东,25岁-45岁,不限,"
                        拉伸车间主管
            ",2017-10-18,三年以上,"
            金中控股有限公司
            "
5000-6000元,浙江金华,不限,男,"
                        数控编程
            ",2017-10-18,二年以上,"
            浙江大明传动科技股份有限公司
            "
4000-5000元,浙江金华,25岁-40岁,不限,"
                        销售跟单
            ",2017-10-18,三年以上,"
            浙江大明传动科技股份有限公司
            "
（面谈）元,浙江金华,30岁以上,男,"
                        质量经理
            ",2017-10-18,三年以上,"
            浙江大明传动科技股份有限公司
            "
（面谈）元,浙江金华,30岁以上,男,"
                        质量经理
            ",2017-10-18,三年以上,"
            浙江大明传动科技股份有限公司
            "
3000-4000元,浙江金华,20岁-35岁,女,"
                        银行后台内勤
            ",2017-10-18,不限,"
            浙江省对外服务公司金华分公司
            "
5000-6000元,浙江金华义乌市,不限,不限,"
                        酒店管培生
            ",2017-10-18,不限,"
            浙江省对外服务公司金华分公司
            "
2000-3000元,浙江金华义乌市,不限,不限,"
                        实习生
            ",2017-10-18,不限,"
            浙江省对外服务公司金华分公司
            "
3000-4000元,浙江金华婺城区,22岁以上,女,"
                        外贸单证
            ",2017-10-18,不限,"
            横店集团浙江英洛华国际贸易有限公司
            "
4000-5000元,浙江金华婺城区,不限,不限,"
                        客服
            ",2017-10-18,不限,"
            金华码虫网络科技有限公司
            "
5000-6000元,浙江金华婺城区,23岁-35岁,不限,"
                        游戏BD商务
            ",2017-10-18,一年以上,"
            金华码虫网络科技有限公司
            "
5000-6000元,浙江金华婺城区,23岁-35岁,不限,"
                        高级SEO专员
            ",2017-10-18,二年以上,"
            金华码虫网络科技有限公司
            "
6000-8000元,浙江金华义乌市,18岁-28岁,不限,"
                        应届生销售
            ",2017-10-18,不限,"
            义乌市聚宝软件有限公司
            "
（面谈）元,浙江金华义乌市,不限,不限,"
                        销售代表
            ",2017-10-18,不限,"
            义乌市聚宝软件有限公司
            "
3000-4000元,浙江金华金东,不限,不限,"
                        400热线客服
            ",2017-10-18,不限,"
            浙江大昌投资集团股份有限公司
            "
4000-5000元,浙江金华金东,不限,不限,"
                        融资租赁专员
            ",2017-10-18,不限,"
            浙江大昌投资集团股份有限公司
            "
（面谈）元,浙江金华,不限,不限,"
                        磐安二手车主管
            ",2017-10-18,三年以上,"
            浙江大昌投资集团股份有限公司
            "
5000-6000元,浙江金华婺城区,25岁-45岁,男,"
                        业务总监
            ",2017-10-18,二年以上,"
            金华漫酷网络技术有限公司
            "
5000-6000元,浙江金华金东,25岁-35岁,女,"
                        财务总监
            ",2017-10-18,一年以上,"
            金华漫酷网络技术有限公司
            "
4000-5000元,浙江金华金东,不限,不限,"
                        质检员
            ",2017-10-18,不限,"
            金华漫酷网络技术有限公司
            "
5000-6000元,浙江金华婺城区,22岁-30岁,男,"
                        速卖通运营
            ",2017-10-18,一年以上,"
            金华市车达汽车用品有限公司
            "
5000-6000元,浙江金华,22岁-29岁,男,"
                        天猫运营主管
            ",2017-10-18,一年以上,"
            金华市车达汽车用品有限公司
            "
6000-8000元,浙江金华,21岁-27岁,女,"
                        淘宝天猫客服
            ",2017-10-18,一年以上,"
            金华市车达汽车用品有限公司
            "
5000-6000元,浙江金华,不限,不限,"
                        汽车金融客户经理
            ",2017-10-18,不限,"
            浙江亿融汽车销售服务有限公司
            "
5000-6000元,浙江金华,18岁-30岁,不限,"
                        汽车贷款客户经理
            ",2017-10-18,不限,"
            浙江亿融汽车销售服务有限公司
            "
8000-10000元,浙江金华,不限,不限,"
                        车贷店长（金华江北）
            ",2017-10-18,不限,"
            浙江亿融汽车销售服务有限公司
            "
（面谈）元,浙江金华金东,25岁-45岁,男,"
                        行政主管
            ",2017-10-18,三年以上,"
            金中控股有限公司
            "
3000-4000元,浙江金华,20岁-30岁,不限,"
                        采购员
            ",2017-10-18,不限,"
            金中控股有限公司
            "
5000-6000元,浙江金华金东,25岁-45岁,不限,"
                        拉伸车间主管
            ",2017-10-18,三年以上,"
            金中控股有限公司
            "
5000-6000元,浙江金华,不限,男,"
                        数控编程
            ",2017-10-18,二年以上,"
            浙江大明传动科技股份有限公司
            "
4000-5000元,浙江金华,25岁-40岁,不限,"
                        销售跟单
            ",2017-10-18,三年以上,"
            浙江大明传动科技股份有限公司
            "
（面谈）元,浙江金华,30岁以上,男,"
                        质量经理
            ",2017-10-18,三年以上,"
            浙江大明传动科技股份有限公司
            "
3000-4000元,浙江金华,20岁-35岁,女,"
                        银行后台内勤
            ",2017-10-18,不限,"
            浙江省对外服务公司金华分公司
            "
5000-6000元,浙江金华义乌市,不限,不限,"
                        酒店管培生
            ",2017-10-18,不限,"
            浙江省对外服务公司金华分公司
            "
3000-4000元,浙江金华婺城区,不限,不限,"
                        文员
            ",2017-10-18,不限,"
            金华丰梵科技有限公司
            "
（面谈）元,浙江金华婺城区,不限,女,"
                        文秘
            ",2017-10-18,不限,"
            金华丰梵科技有限公司
            "
15000-20000元,浙江金华,不限,不限,"
                        销售托管
            ",2017-10-18,不限,"
            金华丰梵科技有限公司
            "
4000-5000元,浙江金华义乌市,20岁-28岁,女,"
                        体验式电话销售客服
            ",2017-10-18,不限,"
            597义乌人才网（本网站）
            "
2000-3000元,浙江金华义乌市,不限,女,"
                        人事专员
            ",2017-10-18,不限,"
            597义乌人才网（本网站）
            "
4000-5000元,浙江金华义乌市,不限,女,"
                        客户经理
            ",2017-10-18,一年以上,"
            597义乌人才网（本网站）
            "
3000-4000元,浙江金华婺城区,不限,男,"
                        信息监察专员
            ",2017-10-18,不限,"
            浙江齐聚科技有限公司
            "
3000-4000元,浙江金华婺城区,20岁-40岁,不限,"
                        咨询客服
            ",2017-10-18,不限,"
            浙江齐聚科技有限公司
            "
3000-4000元,浙江金华婺城区,不限,不限,"
                        网络报修
            ",2017-10-18,不限,"
            浙江齐聚科技有限公司
            "
6000-8000元,浙江金华金东,25岁-40岁,不限,"
                        研发工程师
            ",2017-10-18,五年以上,"
            金中控股有限公司
            "
3000-4000元,浙江金华,不限,女,"
                        客服专员
            ",2017-10-18,二年以上,"
            浙江大昌投资集团股份有限公司
            "
（面谈）元,浙江金华,不限,不限,"
                        汽车销售顾问
            ",2017-10-18,不限,"
            浙江大昌投资集团股份有限公司
            "
（面谈）元,浙江金华,18岁-45岁,不限,"
                        汽车机修工/学徒
            ",2017-10-18,不限,"
            浙江大昌投资集团股份有限公司
            "
5000-6000元,浙江金华婺城区,25岁-45岁,男,"
                        业务总监
            ",2017-10-18,二年以上,"
            金华漫酷网络技术有限公司
            "
